game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit,away_team,home_team,home_score,away_score,profit_recomputed,outcome_recomputed
LA@SEA,away_ml,0.5737547606816421,2.02,0.1589846165769171,0.03896681778846,3.9,3.9,0.0,LA,SEA,38,37,-3.9,loss
LA@SEA,away_spread,0.6167869057498085,1.9090909090909087,0.1775022746132707,0.0292878753111896,2.93,2.93,0.0,LA,SEA,38,37,,no_line
LA@SEA,over,0.8859194141260223,1.869565217391304,0.6562841220616937,0.0377363370185473,3.77,3.77,0.0,LA,SEA,38,37,,no_line
PHI@WAS,away_ml,0.8080157355776009,1.263157894736842,0.0206514554664431,0.0196188826931209,1.96,1.96,0.0,PHI,WAS,18,29,0.5157894736842104,win
PHI@WAS,away_spread,0.6376142144225996,1.8333333333333333,0.1689593931080991,0.0304126907594578,3.04,3.04,0.0,PHI,WAS,18,29,,no_line
PHI@WAS,over,0.6719482493656481,1.9090909090909087,0.2828102942435101,0.015554566183393,1.56,1.56,0.0,PHI,WAS,18,29,,no_line
GB@CHI,away_ml,0.545351111794447,1.9803921568627447,0.0800090645341008,0.0204023114561956,2.04,2.04,0.0,GB,CHI,22,16,-2.04,loss
GB@CHI,away_spread,0.5890241494334751,1.869565217391304,0.1012190619843228,0.0174602881922956,1.75,1.75,0.0,GB,CHI,22,16,,no_line
GB@CHI,over,0.7475427848857883,1.9523809523809523,0.4594882943008247,0.0241231354507933,2.41,2.41,0.0,GB,CHI,22,16,,no_line
TB@CAR,away_ml,0.6269187850396013,1.6451612903225803,0.0313825173232147,0.0121607254627457,1.22,1.22,0.0,TB,CAR,23,20,-1.22,loss
TB@CAR,away_spread,0.5404158381406343,2.0,0.0808316762812686,0.0121247514421902,1.21,1.21,0.0,TB,CAR,23,20,,no_line
TB@CAR,over,0.5545473564034051,1.8928571428571428,0.049678924620731,0.0027820197787609,0.28,0.28,0.0,TB,CAR,23,20,,no_line
BUF@CLE,away_spread,0.5392326775400894,1.9090909090909087,0.0294442025765343,0.0048582934251281,0.49,0.49,0.0,BUF,CLE,20,23,,no_line
BUF@CLE,over,0.7566447124877872,1.9803921568627447,0.4984532541424805,0.0254211159612665,2.54,2.54,0.0,BUF,CLE,20,23,,no_line
LAC@DAL,away_ml,0.6668717045856289,2.02,0.3470808432629705,0.085068834133081,8.51,8.51,0.0,LAC,DAL,17,34,8.6802,win
LAC@DAL,away_spread,0.7062293331922185,1.869565217391304,0.3203417968376257,0.0552589599544904,5.53,5.53,0.0,LAC,DAL,17,34,,no_line
LAC@DAL,under,0.5651000350497837,1.9803921568627447,0.119119677255454,0.0060751035400281,0.61,0.61,0.0,LAC,DAL,17,34,,no_line
CIN@MIA,home_ml,0.6594996944211255,2.7,0.780649174937039,0.1148013492554469,11.48,11.48,0.0,CIN,MIA,21,45,-11.48,loss
CIN@MIA,home_spread,0.7486849914438388,2.0,0.4973699828876776,0.0746054974331516,7.46,7.46,0.0,CIN,MIA,21,45,,no_line
CIN@MIA,under,0.6797299620560077,1.8928571428571428,0.2866317138917287,0.0160513759779368,1.61,1.61,0.0,CIN,MIA,21,45,,no_line
NYJ@NO,home_ml,0.7673761575128496,1.3355704697986577,0.0248849352017253,0.0185392767252853,1.85,1.85,0.0,NYJ,NO,29,6,0.6208053691275167,win
NYJ@NO,home_spread,0.5982235590387702,1.869565217391304,0.1184179582029181,0.0204270977900033,2.04,2.04,0.0,NYJ,NO,29,6,,no_line
NYJ@NO,over,0.6235753861578962,1.869565217391304,0.1658148523821536,0.0095343540119738,0.95,0.95,0.0,NYJ,NO,29,6,,no_line
MIN@NYG,away_ml,0.6137512326513309,1.6756756756756757,0.0284480114697977,0.0105257642438251,1.05,1.05,0.0,MIN,NYG,13,16,0.7094594594594594,win
MIN@NYG,over,0.6388070294596772,1.9523809523809523,0.2471946765641315,0.0129777205196169,1.3,1.3,0.0,MIN,NYG,13,16,,no_line
KC@TEN,away_ml,0.8439368863656755,1.5405405405405406,0.3001189871038786,0.1388050315355438,13.88,13.88,0.0,KC,TEN,26,9,-13.88,loss
KC@TEN,away_spread,0.7738275173446063,2.0,0.5476550346892126,0.0821482552033818,8.21,8.21,0.0,KC,TEN,26,9,,no_line
KC@TEN,over,0.768815328485676,1.9090909090909087,0.4677383543817451,0.0257256094909959,2.57,2.57,0.0,KC,TEN,26,9,,no_line
ATL@ARI,under,0.5743386004611217,1.9523809523809523,0.121327743757428,0.0063697065472649,0.64,0.64,0.0,ATL,ARI,19,26,,no_line
JAX@DEN,home_spread,0.5130966555797912,2.0,0.0261933111595824,0.0039289966739373,0.39,0.39,0.0,JAX,DEN,20,34,,no_line
JAX@DEN,over,0.7336640437347226,1.8928571428571428,0.3887212256407248,0.0217683886358805,2.18,2.18,0.0,JAX,DEN,20,34,,no_line
PIT@DET,away_ml,0.3177083585181657,4.3,0.3661459416281125,0.0277383289112206,2.77,2.77,0.0,PIT,DET,24,29,9.141,win
PIT@DET,away_spread,0.5324535401252788,1.9523809523809523,0.0395521497684013,0.0062294635885232,0.62,0.62,0.0,PIT,DET,24,29,,no_line
PIT@DET,under,0.596568919650934,1.869565217391304,0.1153245019560937,0.0066311588624753,0.66,0.66,0.0,PIT,DET,24,29,,no_line
LV@HOU,home_spread,0.6338927785070638,1.9523809523809523,0.2376001866090293,0.0374220293909221,3.74,3.74,0.0,LV,HOU,23,21,,no_line
LV@HOU,over,0.7437812973883051,1.9090909090909087,0.4199461131958553,0.023097036225772,2.31,2.31,0.0,LV,HOU,23,21,,no_line
NE@BAL,away_ml,0.6756541358290529,2.54,0.716161505005794,0.1162599845788627,11.63,11.63,0.0,NE,BAL,24,28,17.910200000000003,win
NE@BAL,away_spread,0.762645942061617,1.869565217391304,0.4258163264630229,0.0734533163148714,7.35,7.35,0.0,NE,BAL,24,28,,no_line
NE@BAL,over,0.6002772322440012,1.925925925925926,0.1560894843217801,0.0084288321533761,0.84,0.84,0.0,NE,BAL,24,28,,no_line
SF@IND,home_ml,0.5903356800582064,2.85,0.6824566881658881,0.092223876779174,9.22,9.22,0.0,SF,IND,27,48,-9.22,loss
SF@IND,home_spread,0.7128540546259217,1.869565217391304,0.3327271456049838,0.0573954326168597,5.74,5.74,0.0,SF,IND,27,48,,no_line
SF@IND,over,0.6690728271610556,1.9803921568627447,0.3250265792797376,0.0165763555432666,1.66,1.66,0.0,SF,IND,27,48,,no_line
