game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit,away_team,home_team
HOU@LAC,home_ml,0.5640775320157243,1.819672131147541,0.0264361648154983,0.008063030268726987,0.81,0.81,0.0,HOU,LAC
HOU@LAC,away_ml,0.4359224679842757,2.02,-0.119436614671763,0.0,0.0,0.0,0.0,HOU,LAC
HOU@LAC,home_spread,0.5200202327806405,1.9090909090909087,-0.0072341010551408,0.0,0.0,0.0,0.0,HOU,LAC
HOU@LAC,away_spread,0.47997976721935953,1.9090909090909087,-0.0836749898539499,0.0,0.0,0.0,0.0,HOU,LAC
HOU@LAC,over,0.8879136513338793,1.8928571428571428,0.6806936971677001,0.03811884704139121,3.81,3.81,0.0,HOU,LAC
HOU@LAC,under,0.1120863486661206,1.925925925925926,-0.7841299951615454,0.0,0.0,0.0,0.0,HOU,LAC
BAL@GB,home_ml,0.7652992014293324,1.6024096385542168,0.2263228167482072,0.09392396895050602,9.39,9.39,0.0,BAL,GB
BAL@GB,away_ml,0.2347007985706676,2.4,-0.4367180834303977,0.0,0.0,0.0,0.0,BAL,GB
BAL@GB,home_spread,0.6918956549079673,1.847457627118644,0.2782479048299735,0.049249879154905314,4.92,4.92,0.0,BAL,GB
BAL@GB,away_spread,0.30810434509203266,1.9803921568627447,-0.3898325714844058,0.0,0.0,0.0,0.0,BAL,GB
BAL@GB,over,0.8804314846105203,1.869565217391304,0.6460240799240162,0.03714638459563094,3.71,3.71,0.0,BAL,GB
BAL@GB,under,0.1195685153894796,1.9523809523809523,-0.7665567080491111,0.0,0.0,0.0,0.0,BAL,GB
SEA@CAR,home_ml,0.1618705941581174,4.0,-0.3525176233675305,0.0,0.0,0.0,0.0,SEA,CAR
SEA@CAR,away_ml,0.8381294058418827,1.263157894736842,0.0586897758002727,0.05575528701025917,5.58,5.58,0.0,SEA,CAR
SEA@CAR,home_spread,0.319792014687325,1.9803921568627447,-0.3666864022858858,0.0,0.0,0.0,0.0,SEA,CAR
SEA@CAR,away_spread,0.680207985312675,1.847457627118644,0.256655430492908,0.045428011197244725,4.54,4.54,0.0,SEA,CAR
SEA@CAR,over,0.736308653390122,1.9090909090909087,0.4056801564720511,0.022312408605962803,2.23,2.23,0.0,SEA,CAR
SEA@CAR,under,0.263691346609878,1.9090909090909087,-0.4965892473811419,0.0,0.0,0.0,0.0,SEA,CAR
ARI@CIN,home_ml,0.3664569090413404,1.289855072463768,-0.5273236970336335,0.0,0.0,0.0,0.0,ARI,CIN
ARI@CIN,away_ml,0.6335430909586597,3.75,1.3757865910949738,0.12507150828136127,12.51,12.51,0.0,ARI,CIN
ARI@CIN,home_spread,0.1949577541860776,1.9090909090909087,-0.627807923826579,0.0,0.0,0.0,0.0,ARI,CIN
ARI@CIN,away_spread,0.8050422458139224,1.9090909090909087,0.5368988329174882,0.08858830743138553,8.86,8.86,0.0,ARI,CIN
ARI@CIN,over,0.1723874407101533,1.8928571428571428,-0.6736952015129241,0.0,0.0,0.0,0.0,ARI,CIN
ARI@CIN,under,0.8276125592898467,1.925925925925926,0.5939204845582233,0.032071706166144055,3.21,3.21,0.0,ARI,CIN
PIT@CLE,home_ml,0.3469281451522092,2.5,-0.1326796371194769,0.0,0.0,0.0,0.0,PIT,CLE
PIT@CLE,away_ml,0.6530718548477907,1.5555555555555556,0.0158895519854522,0.007150298393453524,0.72,0.72,0.0,PIT,CLE
PIT@CLE,home_spread,0.4319526672054846,1.9803921568627447,-0.1445643257303147,0.0,0.0,0.0,0.0,PIT,CLE
PIT@CLE,away_spread,0.5680473327945155,1.847457627118644,0.04944337753563,0.008751477823806558,0.88,0.88,0.0,PIT,CLE
PIT@CLE,over,0.8711420717574943,1.9523809523809523,0.7008011877170125,0.03679206235514316,3.68,3.68,0.0,PIT,CLE
PIT@CLE,under,0.1288579282425057,1.869565217391304,-0.7590916993727067,0.0,0.0,0.0,0.0,PIT,CLE
JAX@IND,home_ml,0.5327880598099767,3.1,0.6516429854109277,0.0775765458822533,7.76,7.76,0.0,JAX,IND
JAX@IND,away_ml,0.4672119401900233,1.3875968992248062,-0.351698160511518,0.0,0.0,0.0,0.0,JAX,IND
JAX@IND,home_spread,0.6878225221078401,1.9523809523809523,0.3428915907819735,0.05400542554816083,5.4,5.4,0.0,JAX,IND
JAX@IND,away_spread,0.3121774778921599,1.869565217391304,-0.416363845679875,0.0,0.0,0.0,0.0,JAX,IND
JAX@IND,over,0.6421388960438484,1.9090909090909087,0.2259015288109834,0.012424584084604078,1.24,1.24,0.0,JAX,IND
JAX@IND,under,0.3578611039561515,1.9090909090909087,-0.3168106197200742,0.0,0.0,0.0,0.0,JAX,IND
TB@MIA,home_ml,0.4858765096404216,3.35,0.6276863072954126,0.06677513907398004,6.68,6.68,0.0,TB,MIA
TB@MIA,away_ml,0.5141234903595784,1.3448275862068966,-0.3085925474474635,0.0,0.0,0.0,0.0,TB,MIA
TB@MIA,home_spread,0.6450527074765177,2.0,0.2901054149530353,0.043515812242955296,4.35,4.35,0.0,TB,MIA
TB@MIA,away_spread,0.35494729252348234,1.8333333333333333,-0.3492632970402823,0.0,0.0,0.0,0.0,TB,MIA
TB@MIA,over,0.5806661482421835,1.925925925925926,0.1183199892071683,0.006389279417187092,0.64,0.64,0.0,TB,MIA
TB@MIA,under,0.4193338517578164,1.8928571428571428,-0.2062609234584189,0.0,0.0,0.0,0.0,TB,MIA
NE@NYJ,home_ml,0.0906516525804152,7.75,-0.2974496925017817,0.0,0.0,0.0,0.0,NE,NYJ
NE@NYJ,away_ml,0.9093483474195848,1.0952380952380951,-0.0040470480642642,0.0,0.0,0.0,0.0,NE,NYJ
NE@NYJ,home_spread,0.3681515873989602,1.925925925925926,-0.2909673131575579,0.0,0.0,0.0,0.0,NE,NYJ
NE@NYJ,away_spread,0.6318484126010397,1.8928571428571428,0.1959987809948251,0.03292779520713063,3.29,3.29,0.0,NE,NYJ
NE@NYJ,over,0.6612301855892193,1.847457627118644,0.2215947496478797,0.013074090229224906,1.31,1.31,0.0,NE,NYJ
NE@NYJ,under,0.3387698144107807,1.9803921568627447,-0.3291029165590421,0.0,0.0,0.0,0.0,NE,NYJ
NO@TEN,home_ml,0.278326081775096,2.14,-0.4043821850012947,0.0,0.0,0.0,0.0,NO,TEN
NO@TEN,away_ml,0.721673918224904,1.7407407407407407,0.2562471909840921,0.08648342695713108,8.65,8.65,0.0,NO,TEN
NO@TEN,home_spread,0.3436079238592052,1.8928571428571428,-0.34959928698079,0.0,0.0,0.0,0.0,NO,TEN
NO@TEN,away_spread,0.6563920761407949,1.925925925925926,0.2641625170119011,0.04279432775592801,4.28,4.28,0.0,NO,TEN
NO@TEN,over,0.6256520847476787,1.9090909090909087,0.1944267072455685,0.010693468898506262,1.07,1.07,0.0,NO,TEN
NO@TEN,under,0.3743479152523212,1.9090909090909087,-0.2853357981546594,0.0,0.0,0.0,0.0,NO,TEN
NYG@LV,home_ml,0.3950811202973471,2.3,-0.0913134233161016,0.0,0.0,0.0,0.0,NYG,LV
NYG@LV,away_ml,0.6049188797026529,1.6451612903225803,-0.0048108753278938,0.0,0.0,0.0,0.0,NYG,LV
NYG@LV,home_spread,0.4677548725824701,1.9803921568627447,-0.0736619190033433,0.0,0.0,0.0,0.0,NYG,LV
NYG@LV,away_spread,0.5322451274175299,1.847457627118644,-0.0166996798557499,0.0,0.0,0.0,0.0,NYG,LV
NYG@LV,over,0.5034859746070954,1.925925925925926,-0.0303233081641124,0.0,0.0,0.0,0.0,NYG,LV
NYG@LV,under,0.4965140253929045,1.8928571428571428,-0.0601698805062878,0.0,0.0,0.0,0.0,NYG,LV
PHI@BUF,home_ml,0.5858878205645917,1.8333333333333333,0.0741276710350847,0.022238301310525403,2.22,2.22,0.0,PHI,BUF
PHI@BUF,away_ml,0.41411217943540835,2.0,-0.1717756411291833,0.0,0.0,0.0,0.0,PHI,BUF
PHI@BUF,home_spread,0.5421565931737348,1.9523809523809523,0.0584962057201488,0.009213152400923436,0.92,0.92,0.0,PHI,BUF
PHI@BUF,away_spread,0.45784340682626523,1.869565217391304,-0.144031891585678,0.0,0.0,0.0,0.0,PHI,BUF
PHI@BUF,over,0.8002390976674976,1.9523809523809523,0.5623715716365428,0.029524507510918504,2.95,2.95,0.0,PHI,BUF
PHI@BUF,under,0.1997609023325024,1.869565217391304,-0.626533965204452,0.0,0.0,0.0,0.0,PHI,BUF
CHI@SF,home_ml,0.4913309261297321,1.6024096385542168,-0.2126865882499474,0.0,0.0,0.0,0.0,CHI,SF
CHI@SF,away_ml,0.5086690738702679,2.4,0.220805777288643,0.03942960308725769,3.94,3.94,0.0,CHI,SF
CHI@SF,home_spread,0.4036331928340354,1.8928571428571428,-0.2359800278498615,0.0,0.0,0.0,0.0,CHI,SF
CHI@SF,away_spread,0.5963668071659646,1.925925925925926,0.1485582952825985,0.024066443835780965,2.41,2.41,0.0,CHI,SF
