game,bet_type,prob,dec,ev_per_$,kelly_frac,stake_$,stake_reflected,profit,away_team,home_team
LA@SEA,away_ml,0.5737547606816421,2.02,0.1589846165769171,0.03896681778846007,3.9,3.9,0.0,LA,SEA
LA@SEA,away_spread,0.6167869057498085,1.9090909090909087,0.1775022746132707,0.029287875311189662,2.93,2.93,0.0,LA,SEA
LA@SEA,over,0.8859194141260223,1.869565217391304,0.6562841220616937,0.037736337018547395,3.77,3.77,0.0,LA,SEA
PHI@WAS,away_ml,0.8080157355776009,1.263157894736842,0.0206514554664431,0.019618882693120995,1.96,1.96,0.0,PHI,WAS
PHI@WAS,away_spread,0.6376142144225996,1.8333333333333333,0.1689593931080991,0.030412690759457846,3.04,3.04,0.0,PHI,WAS
PHI@WAS,over,0.6719482493656481,1.9090909090909087,0.2828102942435101,0.015554566183393046,1.56,1.56,0.0,PHI,WAS
GB@CHI,away_ml,0.545351111794447,1.9803921568627447,0.0800090645341008,0.020402311456195664,2.04,2.04,0.0,GB,CHI
GB@CHI,away_spread,0.5890241494334751,1.869565217391304,0.1012190619843228,0.017460288192295698,1.75,1.75,0.0,GB,CHI
GB@CHI,over,0.7475427848857883,1.9523809523809523,0.4594882943008247,0.0241231354507933,2.41,2.41,0.0,GB,CHI
TB@CAR,away_ml,0.6269187850396013,1.6451612903225803,0.0313825173232147,0.012160725462745757,1.22,1.22,0.0,TB,CAR
TB@CAR,away_spread,0.5404158381406343,2.0,0.0808316762812686,0.012124751442190296,1.21,1.21,0.0,TB,CAR
TB@CAR,over,0.5545473564034051,1.8928571428571428,0.049678924620731,0.0027820197787609413,0.28,0.28,0.0,TB,CAR
BUF@CLE,away_spread,0.5392326775400894,1.9090909090909087,0.0294442025765343,0.004858293425128133,0.49,0.49,0.0,BUF,CLE
BUF@CLE,over,0.7566447124877872,1.9803921568627447,0.4984532541424805,0.0254211159612665,2.54,2.54,0.0,BUF,CLE
LAC@DAL,away_ml,0.6668717045856289,2.02,0.3470808432629705,0.085068834133081,8.51,8.51,0.0,LAC,DAL
LAC@DAL,away_spread,0.7062293331922185,1.869565217391304,0.3203417968376257,0.05525895995449044,5.53,5.53,0.0,LAC,DAL
LAC@DAL,under,0.5651000350497837,1.9803921568627447,0.119119677255454,0.006075103540028141,0.61,0.61,0.0,LAC,DAL
CIN@MIA,home_ml,0.6594996944211255,2.7,0.780649174937039,0.1148013492554469,11.48,11.48,0.0,CIN,MIA
CIN@MIA,home_spread,0.7486849914438388,2.0,0.4973699828876776,0.07460549743315165,7.46,7.46,0.0,CIN,MIA
CIN@MIA,under,0.6797299620560077,1.8928571428571428,0.2866317138917287,0.016051375977936808,1.61,1.61,0.0,CIN,MIA
NYJ@NO,home_ml,0.7673761575128496,1.3355704697986577,0.0248849352017253,0.01853927672528535,1.85,1.85,0.0,NYJ,NO
NYJ@NO,home_spread,0.5982235590387702,1.869565217391304,0.1184179582029181,0.020427097790003363,2.04,2.04,0.0,NYJ,NO
NYJ@NO,over,0.6235753861578962,1.869565217391304,0.1658148523821536,0.009534354011973833,0.95,0.95,0.0,NYJ,NO
MIN@NYG,away_ml,0.6137512326513309,1.6756756756756757,0.0284480114697977,0.010525764243825168,1.05,1.05,0.0,MIN,NYG
MIN@NYG,over,0.6388070294596772,1.9523809523809523,0.2471946765641315,0.012977720519616907,1.3,1.3,0.0,MIN,NYG
KC@TEN,away_ml,0.8439368863656755,1.5405405405405406,0.3001189871038786,0.13880503153554383,13.88,13.88,0.0,KC,TEN
KC@TEN,away_spread,0.7738275173446063,2.0,0.5476550346892126,0.08214825520338188,8.21,8.21,0.0,KC,TEN
KC@TEN,over,0.768815328485676,1.9090909090909087,0.4677383543817451,0.025725609490995976,2.57,2.57,0.0,KC,TEN
ATL@ARI,under,0.5743386004611217,1.9523809523809523,0.121327743757428,0.006369706547264974,0.64,0.64,0.0,ATL,ARI
JAX@DEN,home_spread,0.5130966555797912,2.0,0.0261933111595824,0.003928996673937368,0.39,0.39,0.0,JAX,DEN
JAX@DEN,over,0.7336640437347226,1.8928571428571428,0.3887212256407248,0.021768388635880598,2.18,2.18,0.0,JAX,DEN
PIT@DET,away_ml,0.3177083585181657,4.3,0.3661459416281125,0.027738328911220647,2.77,2.77,0.0,PIT,DET
PIT@DET,away_spread,0.5324535401252788,1.9523809523809523,0.0395521497684013,0.006229463588523218,0.62,0.62,0.0,PIT,DET
PIT@DET,under,0.596568919650934,1.869565217391304,0.1153245019560937,0.0066311588624753896,0.66,0.66,0.0,PIT,DET
LV@HOU,home_spread,0.6338927785070638,1.9523809523809523,0.2376001866090293,0.037422029390922124,3.74,3.74,0.0,LV,HOU
LV@HOU,over,0.7437812973883051,1.9090909090909087,0.4199461131958553,0.023097036225772034,2.31,2.31,0.0,LV,HOU
NE@BAL,away_ml,0.6756541358290529,2.54,0.716161505005794,0.11625998457886272,11.63,11.63,0.0,NE,BAL
NE@BAL,away_spread,0.762645942061617,1.869565217391304,0.4258163264630229,0.07345331631487144,7.35,7.35,0.0,NE,BAL
NE@BAL,over,0.6002772322440012,1.925925925925926,0.1560894843217801,0.008428832153376127,0.84,0.84,0.0,NE,BAL
SF@IND,home_ml,0.5903356800582064,2.85,0.6824566881658881,0.09222387677917407,9.22,9.22,0.0,SF,IND
SF@IND,home_spread,0.7128540546259217,1.869565217391304,0.3327271456049838,0.05739543261685971,5.74,5.74,0.0,SF,IND
SF@IND,over,0.6690728271610556,1.9803921568627447,0.3250265792797376,0.016576355543266617,1.66,1.66,0.0,SF,IND
